cycle number,Q discharge/mA.h
2.0,3136.3363821499297
3.0,3134.2748559768324
4.0,3139.620391568199
5.0,3144.698996948513
6.0,3143.553146567519
7.0,3140.267227993433
8.0,3133.327968122419
9.0,3126.917470815296
10.0,3120.09747503513
11.0,3112.097718271079
12.0,3102.191501643744
13.0,3089.3722667749016
14.0,3075.289789092609
15.0,3061.6431855215114
16.0,3047.382932035452
17.0,3030.488007646075
18.0,3015.258376779109
19.0,2997.8336218116606
20.0,2981.004277788764
21.0,2964.337253462184
22.0,2949.257270411376
23.0,2931.77007814955
24.0,2912.630969532879
25.0,2894.281725644394
26.0,77.03435708767363
27.0,2854.316765751819
28.0,2825.9741954216856
29.0,2792.349505396324
30.0,2751.6009674633806
31.0,2704.161249829508
32.0,2649.515244509957
33.0,2596.827853894044
34.0,2545.381422054717
