cycle number,Q discharge/mA.h
1.0,3247.068812124292
2.0,3235.927376273735
3.0,3235.999497384168
4.0,3233.0552817725984
5.0,3234.8441097437926
6.0,3232.4899415753807
7.0,3229.8260491122774
8.0,3227.257956765954
9.0,3224.979105437823
10.0,3222.479573466662
11.0,3219.825288613418
12.0,3215.500138791773
13.0,3213.377247839492
14.0,3209.819174306506
15.0,3206.570112202282
16.0,3203.6410531722
17.0,3199.73894004164
18.0,3196.5100708464897
19.0,3193.625808929714
20.0,3189.902305630424
21.0,3186.333472712403
22.0,3182.994030373673
23.0,3180.3174060142687
24.0,3177.235987321506
25.0,3174.503304011775
26.0,3170.508913980443
27.0,3167.3996612948963
28.0,3163.7981140572087
29.0,3161.8734858294
30.0,3158.959355570475
31.0,3155.374717668592
32.0,3154.1660818242744
33.0,3149.3599409187827
34.0,3147.278561900905
35.0,3144.537564096546
36.0,3141.106496164956
37.0,3139.2316616392686
38.0,3136.149689714085
39.0,3133.81941022746
40.0,3132.370529234891
41.0,3129.477487597792
42.0,3127.212240784233
43.0,3124.6135008714477
44.0,3121.764046642932
45.0,3120.8727906164563
46.0,3117.464270993516
47.0,3115.113658243678
48.0,3112.293288480361
49.0,3110.117457999812
50.0,3108.55933320638
51.0,3105.9976083991137
52.0,3103.194773816867
53.0,3102.0755468634693
54.0,3098.734553723959
55.0,3097.132364026014
56.0,3095.893091061469
57.0,3093.5420947838
58.0,3092.857457311063
59.0,3088.593931496854
60.0,3086.956436057539
61.0,3085.421355429145
62.0,3083.880936099853
63.0,3081.5511476551646
64.0,3078.5917843789302
65.0,3073.999909898138
66.0,3072.31933050144
67.0,3071.42185047662
68.0,3068.669437023109
69.0,3066.233230230848
70.0,3063.235017624782
71.0,3058.5776484552666
72.0,3054.826031420492
73.0,3051.734767964273
74.0,3049.3628069078227
75.0,3045.25630370144
76.0,3043.575858462048
77.0,3039.781398195668
78.0,3036.155198127849
79.0,3033.451448074952
80.0,3030.265156556937
81.0,3027.6988823190663
82.0,3023.699318468018
83.0,3020.383046066488
84.0,3016.959768445368
85.0,3013.303044654679
86.0,3010.055378703615
87.0,3006.576818789875
88.0,3003.1544277990743
89.0,2998.9323758699543
90.0,2994.348784636366
91.0,2989.879628138832
92.0,2986.3540102739803
93.0,2982.810790731742
94.0,2978.5336317807373
95.0,2975.035250007189
96.0,2971.161926284859
97.0,2965.97782734104
98.0,2959.907099897191
99.0,2955.0113172836627
100.0,2950.635907268882
101.0,2944.5135863148357
102.0,2939.422274008247
103.0,2933.299231826037
104.0,2928.2345977048058
105.0,2922.532607942979
106.0,2916.690708516031
107.0,2911.4362207213
108.0,2904.350408374972
109.0,2899.047988023005
110.0,2892.7480952138926
111.0,2885.7832801628947
112.0,2879.4610253466803
113.0,2872.063311983505
114.0,2865.528132594943
115.0,2858.646339653998
116.0,2852.042484626195
117.0,2845.3599555357564
118.0,2838.074330334339
119.0,2832.030329912382
120.0,2825.5737722078475
121.0,2818.58776943495
122.0,2811.6985612881126
123.0,2804.7663994489208
124.0,2797.861075219864
125.0,2790.80712644165
126.0,2784.576530418971
127.0,2778.177162140706
128.0,2771.172657906764
129.0,2765.0082762764478
130.0,2758.017272854681
131.0,2752.604878641764
132.0,2745.9820228479
133.0,2738.680299436712
134.0,2731.897011616889
135.0,2725.460196708984
136.0,2719.382679437255
137.0,2712.467345016955
138.0,2705.335111798638
139.0,2697.419015038926
140.0,2689.819176046276
141.0,2682.915455624863
142.0,2675.070243935277
143.0,2669.128658876276
144.0,2660.720291589898
145.0,2652.281337448189
146.0,2644.778556920304
147.0,2636.41026402276
148.0,2628.759785650771
149.0,2621.065137087538
150.0,2612.983509742025
151.0,2604.014525149468
152.0,2595.613578084853
153.0,2586.7394795568853
154.0,2579.388450898573
155.0,2571.14578740465
156.0,2562.514008119982
157.0,2553.87742228068
158.0,2543.648263567709
159.0,2534.721047298585
160.0,2526.197480122883
161.0,2517.1475607720254
162.0,2508.18274348131
