cycle number,Q discharge/mA.h
1.0,3094.878632311332
2.0,3083.020735396864
3.0,3077.398728597548
4.0,3073.3929780548765
5.0,3071.195496095243
6.0,3066.598600447997
7.0,3064.689335448134
8.0,3061.111332501628
9.0,3057.727359421388
10.0,3054.70908574639
11.0,3049.359099313968
12.0,3040.299307015518
13.0,3030.659516479765
14.0,3020.9102581119787
15.0,3009.6727838365364
16.0,2999.57914428182
17.0,2986.93501599501
18.0,2972.11325449883
19.0,2953.829294079318
20.0,2935.9384752764204
21.0,2913.5881664515523
22.0,2882.7713651774047
23.0,2844.397290696748
24.0,2799.59404346449
25.0,2751.175563429769
26.0,98.40276639051648
27.0,2659.415218099231
28.0,2602.712582319878
29.0,2551.2110470113103
