cycle number,Q discharge/mA.h
1.0,3259.847034028186
2.0,3260.122897906902
3.0,3258.4382743953447
4.0,3257.049879362386
5.0,3255.111307853326
6.0,3252.771421690266
7.0,3249.584704094646
8.0,3247.641510414222
9.0,3245.438476501872
10.0,3243.682861424019
11.0,3241.0654315604656
12.0,3237.7902368128803
13.0,3235.4692204699736
14.0,3233.151773588868
15.0,3227.8406612910994
16.0,3224.340098748102
17.0,3221.73087266018
18.0,3218.888080349665
19.0,3215.4718757850483
20.0,3212.55410856771
21.0,3210.1003426531297
22.0,3206.419313824596
23.0,3203.2457125508618
24.0,3199.6513362561022
25.0,3196.520918060984
26.0,3192.888699948459
27.0,3189.8633269529887
28.0,3186.397471674126
29.0,3183.535014561226
30.0,3180.171958902724
31.0,3177.014284357233
32.0,3174.244381806097
33.0,3171.1652617213263
34.0,3168.660110258786
35.0,3165.788950674507
36.0,3162.962794633111
37.0,3160.8637291318078
38.0,3157.8790135348854
39.0,3155.22010592787
40.0,3153.246815708959
41.0,3150.858141174316
42.0,3148.29982310574
43.0,3146.027984642199
44.0,3143.887207305095
45.0,3141.822865786946
46.0,3139.352816878387
47.0,3137.239187636175
48.0,3135.278307532687
49.0,3132.8233767024794
50.0,3130.973719944526
51.0,3128.79132280626
52.0,3126.771446025526
53.0,3124.634975613062
54.0,3122.692579044598
55.0,3120.604997795003
56.0,3118.603661346708
57.0,3116.568748015405
58.0,3114.699916303304
59.0,3112.618385210367
60.0,3110.766838484836
61.0,3108.8881270426427
62.0,3107.087434997966
63.0,3105.1716293828667
64.0,3103.258616308189
65.0,3101.238288579239
66.0,3099.3679463119843
67.0,3097.652997257621
68.0,3095.882730036214
69.0,3093.782231180555
70.0,3091.515542692328
71.0,3089.289647773167
72.0,3087.9672716293658
73.0,3086.099778937987
74.0,3083.645893928634
75.0,3081.268383240017
76.0,3081.021373026394
77.0,3078.155174264459
78.0,3075.707281671958
79.0,3073.8950407017687
80.0,3071.669181354436
81.0,3069.8669709819874
82.0,3067.477152797448
83.0,3064.762049290095
84.0,3062.811652260604
85.0,3060.6094129790554
86.0,3058.3100696432844
87.0,3055.808592181262
88.0,3053.63167960422
89.0,3051.464593928494
90.0,3048.92995043796
91.0,3046.409956058622
92.0,3044.0168592932123
93.0,3041.0765999707014
94.0,3038.247257988553
95.0,3035.279864773899
96.0,3032.343997346732
97.0,3029.459587780217
98.0,3026.6102989484334
99.0,3023.8279410417986
100.0,3020.759250663657
101.0,3018.0223559254327
102.0,3015.148581819388
103.0,3011.994431898601
104.0,3008.927683312309
105.0,3005.9386741794187
106.0,3002.605562732614
107.0,2998.880544236519
108.0,2995.010817967257
109.0,2991.395209409994
110.0,2987.737787986382
111.0,2983.361374729139
112.0,2979.853588819582
113.0,2975.317899168565
114.0,2971.280645388046
115.0,2966.749278193629
116.0,2962.383481752792
117.0,2958.113483881295
118.0,2953.40770816257
119.0,2949.260723048367
120.0,2944.274373610978
121.0,2939.601200177544
122.0,2933.976044195556
123.0,2929.1171720433226
124.0,2923.028796773142
125.0,2917.199013185764
126.0,2911.264650306398
127.0,2905.573439759793
128.0,2899.983227879095
129.0,2893.697209115261
130.0,2887.56413792833
131.0,2881.5414234624577
132.0,2875.2675622521947
133.0,2868.997278573949
134.0,2862.200655603028
135.0,2855.352752104356
136.0,2848.592996900364
137.0,2841.048454053413
138.0,2833.6883025221086
139.0,2827.2217756812875
140.0,2820.00989469401
141.0,2812.5602930699324
142.0,2805.069651102564
143.0,2797.3759810138595
144.0,2789.8607180193408
145.0,2781.7668833219377
146.0,2772.911917048882
147.0,2764.673379666613
148.0,2755.719933718668
149.0,2746.825203715822
150.0,2738.6005780413143
151.0,2729.670055292699
152.0,2720.485616083848
153.0,2712.33099565728
154.0,2702.477053273517
155.0,2692.894414289551
156.0,2683.987088711072
157.0,2675.729350102946
158.0,2665.5748275907417
159.0,2655.493484521211
160.0,2645.621872527127
161.0,2636.1713598833558
162.0,2625.7750196445018
163.0,2615.593998551839
164.0,2605.397162032471
165.0,2595.238422099745
166.0,2584.8060316912147
167.0,2573.989919246555
168.0,2562.8672728904903
169.0,2552.106643163113
170.0,2541.485219746908
171.0,2530.095578648408
172.0,2518.058205454375
173.0,2505.815711994765
